,Name,code,Team,Chance of playing next round,Predicted Points,Live cost
491,Oliver Norwood,79934,15,,[2.013146560031731],4.5
497,John Lundstram,153723,15,100.0,[1.5637669580090974],4.9
498,Ben Osborn,167878,15,100.0,[1.8203045284815536],4.7
501,Sander Berge,207189,15,25.0,[1.2027268078019822],4.9
502,Oliver Burke,197937,15,100.0,[1.5444820511075563],4.1
503,Luke Freeman,49083,15,0.0,[-0.053454089141120376],5.0
513,Iliman Ndiaye,440993,15,,[-0.01739821638765443],4.5
514,Zak Brunt,481371,15,,[-0.053454089141120376],4.5
515,Frankie Maguire,531076,15,,[-0.053454089141120376],4.4
516,Theo Walcott,20467,16,100.0,[1.6048064983568135],5.8
517,Takumi Minamino,157882,16,100.0,[1.4437153132719673],6.0
521,Oriol Romeu Vidal,78056,16,0.0,[1.197909075009553],4.5
522,Nathan Redmond,83283,16,100.0,[2.1201024833759066],6.4
525,Stuart Armstrong,91047,16,100.0,[2.1900449959321104],5.5
527,James Ward-Prowse,101178,16,100.0,[3.125965650647628],5.8
529,Sofiane Boufal,128198,16,0.0,[-0.053454089141120376],5.4
530,Josh Sims,153379,16,0.0,[-0.053454089141120376],4.3
535,William Smallbone,214466,16,0.0,[0.2673400778806682],4.3
538,Moussa Djenepo,431131,16,100.0,[0.858295641637815],5.4
541,Nathan Tella,203389,16,100.0,[0.4042758275498448],4.3
542,Ibrahima Diallo,240143,16,100.0,[0.7925130732362466],4.5
545,Kgaogelo Chauke,445896,16,,[-0.053454089141120376],4.4
547,Will Ferry,422306,16,,[-0.053454089141120376],4.5
549,Caleb Watts,456966,16,,[-0.07520268863248064],4.5
550,Alexandre Jankewitz,449781,16,100.0,[-0.07489682214394672],4.5
551,Ryan Finnigan,447372,16,,[-0.053454089141120376],4.5
554,Moussa Sissoko,45268,17,100.0,[1.5483863368614268],4.7
556,Erik Lamela,62974,17,100.0,[0.5352135574708907],5.7
559,Heung-Min Son,85971,17,100.0,[4.152512471410397],9.5
561,Lucas Rodrigues Moura da Silva,95715,17,100.0,[1.7501526606997888],6.7
563,Bamidele Alli,108823,17,100.0,[0.19273460535578923],7.4
565,Pierre-Emile Højbjerg,132015,17,100.0,[2.305514911009145],4.9
566,Harry Winks,157668,17,100.0,[0.42241439916383966],5.1
569,Steven Bergwijn,194252,17,100.0,[0.4606972587864723],7.0
570,Gedson Carvalho Fernandes,195774,17,0.0,[-0.053454089141120376],4.7
572,Giovani Lo Celso,200826,17,100.0,[0.1597043460762539],6.9
573,Oliver Skipp,209042,17,0.0,[-0.053454089141120376],4.4
574,Tanguy Ndombele,231372,17,100.0,[1.5216297895889448],5.9
580,Gareth Bale,36903,17,100.0,[1.3337218584869146],9.1
583,Alfie Devine,496179,17,,[-0.053454089141120376],4.4
590,Jake Livermore,49944,18,100.0,[1.5663566091182126],4.7
591,Kamil Grosicki,49957,18,100.0,[0.12301282880602837],5.2
592,Matt Phillips,50229,18,100.0,[2.1247026907583173],5.1
594,Romaine Sawyers,61600,18,,[2.094222553219047],4.6
601,Jonathan Leko,173809,18,0.0,[-0.053454089141120376],4.5
602,Kyle Edwards,174593,18,,[0.19074024492948105],4.7
604,Sam Field,195864,18,0.0,[0.08736921060501948],4.8
606,Rekeem Harper,232427,18,0.0,[0.026687876786352677],4.3
607,Robert Snodgrass,18987,18,50.0,[0.6627644887986991],5.6
608,Grady Diangana,179830,18,100.0,[1.8724367020458557],5.0
609,Matheus Pereira,210407,18,100.0,[3.2483495227147126],5.5
612,Conor Gallagher,232787,18,100.0,[1.615622595695422],5.5
